date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:59	32783/32783	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2275f097f2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_ch.svg?49310	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_ch0cf8.svg	(from https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156)
19:18:59	10717/10717	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2229dd-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/555-4a87faf2e5080018.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/555-4a87faf2e5080018.js	(from https://www.pking88.com/b/vn)
19:18:59	29411/29411	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2272e3-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/862-527c3bafda3abc82.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/862-527c3bafda3abc82.js	(from https://www.pking88.com/b/vn)
19:18:59	121635/121635	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%221db23-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/198-e39f0e2c195187c5.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/198-e39f0e2c195187c5.js	(from https://www.pking88.com/b/vn)
19:19:01	24205/24205	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a43e98f2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_cs.svg?55966	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_csdffa.svg	(from https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156)
19:19:01	1034/1034	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2240a-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/D-HXof0-e1C0ysdiTznI1/_buildManifest.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/D-HXof0-e1C0ysdiTznI1/_buildManifest.js	(from https://www.pking88.com/b/vn)
19:19:01	102318/102318	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2218fae-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/pages/index-2c7214b56f76f756.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/pages/index-2c7214b56f76f756.js	(from https://www.pking88.com/b/vn)
19:19:01	18109/18109	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/products/Sports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Sports_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:19:03	27069/27069	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2290099f2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_vn.svg?88221	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/logo_slogan/logo_white_vn2b05.svg	(from https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156)
19:19:03	17299/17299	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/products/VirtualSports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/VirtualSports_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:19:03	20942/20942	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/products/E-Sports_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/E-Sports_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:19:03	18737/18737	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/products/Gaming_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Gaming_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:19:03	18075/18075	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/products/RNGKeno_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/RNGKeno_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:19:04	19260/19260	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/products/Saba.club_desktop.png?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/products/Saba.club_desktopbe73.png	(from https://www.pking88.com/b/vn)
19:19:04	13330/13330	URF---	200	added ('OK%20(cached)')	image/png		https://i.nvxcdn.com/resb/viva88/common/images/ui/language_flags.png?41406	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/ui/language_flagsc4ac.png	(from https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156)
19:19:05	38363/-1	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2012:19:04%20GMT	https://www.pking88.com/b/ch	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/ch.html	(from https://www.pking88.com/b/vn)
